,subject,mean_rotation,mean_speed,duration,sit_a_duration,sit_b_duration,sit_c_duration,sit_d_duration,sit_e_duration,sit_a_standtime,sit_b_standtime,sit_c_standtime,sit_d_standtime,sit_e_standtime,sit_a_collisions,sit_b_collisions,sit_c_collisions,sit_d_collisions,sit_e_collisions,sit_a_left_rotations,sit_b_left_rotations,sit_c_left_rotations,sit_d_left_rotations,sit_e_left_rotations,sit_a_right_rotations,sit_b_right_rotations,sit_c_right_rotations,sit_d_right_rotations,sit_e_right_rotations,sit_a_left_angle,sit_b_left_angle,sit_c_left_angle,sit_d_left_angle,sit_e_left_angle,sit_a_right_angle,sit_b_right_angle,sit_c_right_angle,sit_d_right_angle,sit_e_right_angle,sit_a_left_duration,sit_b_left_duration,sit_c_left_duration,sit_d_left_duration,sit_e_left_duration,sit_a_right_duration,sit_b_right_duration,sit_c_right_duration,sit_d_right_duration,sit_e_right_duration,sit_a_safety,sit_b_safety,sit_c_safety,sit_d_safety,sit_e_safety,sit_a_difficulty,sit_b_difficulty,sit_c_difficulty,sit_d_difficulty,sit_e_difficulty
0,Subject 1,0.8075402042320645,12.57437423693631,737.215,17.44999999999999,7.66966666666669,20.34899999999999,0.0,15.246666666666675,6.421666622161865,0.9026666283607483,8.24033260345459,0.0,6.428999423980713,3.0,0.0,0.0,0.0,2.0,3.0,0.3333333333333333,4.666666666666667,0.0,4.333333333333333,3.0,1.3333333333333333,1.6666666666666667,0.0,3.3333333333333335,-63.58171081542969,-134.6165008544922,-63.8177490234375,0.0,-70.52562713623047,40.54466247558594,60.2132453918457,39.4647216796875,0.0,45.739479064941406,1.5438889265060425,0.5569999814033508,1.1761428117752075,0.0,1.3199231624603271,0.89811110496521,1.3562500476837158,0.6260000467300415,0.0,0.7547000050544739,4.0,4.0,3.0,3.0,5.0,5.0,1.0,3.0,3.0,1.0
1,Subject 2,-1.142250351760346,10.055364762198888,938.168,24.66599999999998,4.832999999999989,17.528666666666666,0.0,33.11100000000002,12.846333503723145,0.0,5.506666660308838,0.0,26.5656681060791,0.0,0.0,0.0,0.0,1.0,3.0,0.6666666666666666,2.0,0.0,5.333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.0,7.0,-61.88160705566406,-80.4275131225586,-65.73961639404297,0.0,-49.696659088134766,48.43263626098633,24.155254364013672,32.14951705932617,0.0,34.27141571044922,4.595222473144531,0.31550002098083496,1.1434999704360962,0.0,1.4943125247955322,0.6600000262260437,0.5429999828338623,1.1296000480651855,0.0,1.4137142896652222,4.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0
2,Subject 3,3.8097727929000365,13.019296978377577,735.346,21.468000000000007,5.076000000000003,10.369666666666658,0.0,4.730999999999999,8.484600067138672,0.0,1.2080000638961792,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.4,0.0,0.8,1.6,0.2,0.4,0.0,0.0,-47.215702056884766,,-42.37662887573242,0.0,-28.391693115234375,37.91967010498047,20.707979202270508,34.8902702331543,0.0,,1.700199842453003,,0.7967143058776855,0.0,0.7675000429153442,1.7608749866485596,0.20000000298023224,0.5494999885559082,0.0,,2.0,5.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,4.0
3,Subject 4,-9.927502394785149,7.683991058224313,1229.504,46.89399999999997,12.77466666666667,46.502666666666705,0.0,20.78933333333336,34.69533157348633,4.422666072845459,30.703332901000977,0.0,11.87833309173584,4.0,0.0,1.0,0.0,0.0,7.666666666666667,2.6666666666666665,6.0,0.0,4.0,4.333333333333333,0.6666666666666666,1.6666666666666667,0.0,2.6666666666666665,-80.96257019042969,-136.27484130859375,-106.03275299072266,0.0,-70.7979507446289,37.862239837646484,23.15489959716797,35.92324447631836,0.0,35.10127258300781,3.1552605628967285,1.1903749704360962,2.8631668090820312,0.0,1.5046666860580444,0.8105384111404419,0.3160000145435333,0.6741999983787537,0.0,1.534250020980835,4.0,4.0,1.0,1.0,2.0,2.0,2.0,5.0,4.0,3.0
4,Subject 5,-10.657750758267579,8.423525993559991,1098.856,29.111333333333317,13.025333333333379,34.131333333333345,0.0,28.887333333333327,11.912666320800781,2.5410001277923584,17.84833335876465,0.0,20.37233543395996,4.0,0.0,0.0,0.0,0.0,6.333333333333333,0.6666666666666666,4.0,0.0,8.0,0.6666666666666666,0.0,2.0,0.0,6.666666666666667,-86.02613067626953,-126.41439819335938,-49.18397903442383,0.0,-69.43268585205078,23.175155639648438,,42.2729377746582,0.0,42.759254455566406,2.370473861694336,0.9785000085830688,1.338083267211914,0.0,1.7545000314712524,0.48750001192092896,,0.9348333477973938,0.0,0.8161999583244324,4.0,5.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0
5,Subject 6,-3.678642515651534,8.38558092663874,1132.151,25.304333333333375,8.642666666666665,22.317999999999994,0.0,22.321999999999974,13.2586669921875,1.471666693687439,10.851666450500488,0.0,16.217666625976562,0.0,0.0,9.0,0.0,0.0,2.6666666666666665,2.0,1.6666666666666667,0.0,3.6666666666666665,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2.0,-88.72840881347656,-121.92999267578125,-44.7157096862793,0.0,-37.996063232421875,97.52510070800781,23.106849670410156,39.71184158325195,0.0,36.31877136230469,5.902874946594238,1.1796666383743286,1.312999963760376,0.0,1.508636474609375,1.406000018119812,0.4869999885559082,0.6010000109672546,0.0,1.7023333311080933,2.0,2.0,4.0,5.0,1.0,2.0,1.0,1.0,5.0,5.0
6,Subject 7,1.4165264626321548,12.953494147670005,694.91,13.13166666666666,5.532333333333336,12.589333333333336,0.0,6.473000000000009,1.1263333559036255,0.0,2.122999906539917,0.0,0.07599999755620956,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,-35.63582229614258,,-59.469818115234375,0.0,,,60.7547492980957,,0.0,,1.1266666650772095,,1.3009999990463257,0.0,,,0.8650000095367432,,0.0,,4.0,5.0,3.0,2.0,4.0,4.0,1.0,3.0,4.0,2.0
7,Subject 8,-1.8844627144489763,11.592483265354376,805.424,32.794999999999966,8.389999999999986,11.303666666666677,0.0,5.174333333333332,19.970664978027344,1.1403332948684692,1.3863333463668823,0.0,0.0,6.0,0.0,2.0,0.0,0.0,3.6666666666666665,1.0,1.6666666666666667,0.0,0.6666666666666666,2.0,0.3333333333333333,0.3333333333333333,0.0,0.0,-61.14810562133789,-75.03203582763672,-23.79557228088379,0.0,-71.47682189941406,59.41168212890625,30.368160247802734,21.988330841064453,0.0,,3.024181604385376,1.2043333053588867,0.4684000015258789,0.0,1.0499999523162842,2.694833517074585,0.7839999794960022,0.18400000035762787,0.0,,1.0,4.0,2.0,5.0,1.0,4.0,1.0,4.0,2.0,5.0
8,Subject 9,-11.877776850260544,8.386434607100675,1138.839,30.86366666666667,12.194333333333342,24.004666666666655,0.0,37.49066666666668,15.982998847961426,5.5233330726623535,12.454998970031738,0.0,28.1373348236084,3.0,0.0,3.0,0.0,0.0,3.3333333333333335,1.0,6.0,0.0,11.333333333333334,1.0,1.0,1.6666666666666667,0.0,8.666666666666666,-78.37651824951172,-138.74703979492188,-80.66731262207031,0.0,-79.2217788696289,24.31572723388672,23.371461868286133,28.71175765991211,0.0,42.74855422973633,5.217400074005127,3.8936665058135986,2.1886112689971924,0.0,1.2817941904067993,0.3786666691303253,0.39400002360343933,0.5555999875068665,0.0,0.9209999442100525,4.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,5.0,5.0
9,Subject 10,-2.337045037388336,12.399578196610724,739.246,21.551,6.73933333333332,14.246666666666675,0.0,8.324333333333328,6.674333095550537,0.49399998784065247,3.6093332767486572,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.6666666666666665,0.3333333333333333,2.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,-65.1198959350586,-26.090740203857422,-35.36575698852539,0.0,-42.5550422668457,23.2138671875,,23.91902732849121,0.0,40.912601470947266,4.05649995803833,0.5789999961853027,1.2766667604446411,0.0,1.320666790008545,0.3919999897480011,,0.44033336639404297,0.0,0.25733330845832825,5.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,4.0,4.0
10,Subject 11,1.2612858086870233,12.701918023195717,752.74,24.34633333333336,6.8860000000000054,21.177666666666667,0.0,8.331333333333353,9.811332702636719,0.0,9.10866641998291,0.0,1.8873333930969238,1.0,0.0,6.0,0.0,0.0,2.6666666666666665,0.0,2.0,0.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,-30.95594596862793,,-42.75674057006836,0.0,-29.331066131591797,31.282310485839844,53.89680099487305,24.285831451416016,0.0,28.41815948486328,3.352375030517578,,1.684999942779541,0.0,0.9462500214576721,1.5734999179840088,0.16300000250339508,0.28049999475479126,0.0,0.6445000171661377,2.0,4.0,4.0,1.0,3.0,4.0,2.0,3.0,5.0,3.0
11,Subject 12,-0.6801636530607045,7.474447033569017,1222.159,40.653999999999975,9.277000000000024,37.077999999999996,0.0,13.767333333333303,26.811668395996094,1.5676666498184204,21.26533317565918,0.0,5.5289998054504395,5.0,0.0,1.0,0.0,0.0,5.0,0.0,4.333333333333333,0.0,2.0,1.6666666666666667,0.0,0.6666666666666666,0.0,1.3333333333333333,-46.96253204345703,,-39.135475158691406,0.0,-36.77131271362305,35.316871643066406,,56.374595642089844,0.0,41.76646423339844,4.765599727630615,,1.6201539039611816,0.0,1.15500009059906,0.6203999519348145,,1.503999948501587,0.0,1.3202500343322754,1.0,5.0,1.0,3.0,4.0,4.0,2.0,5.0,3.0,2.0
Total,,-2.9075390839309905,10.470874102453028,935.3798333333333,27.352944444444443,8.420027777777785,22.633277777777778,0.0,17.05402777777778,13.999717712402344,1.5052776336669922,10.358834266662598,0.0,9.757722854614258,2.6666666666666665,0.0,1.8333333333333333,0.0,0.3333333333333333,3.5833333333333335,0.7222222222222222,3.0611111111111113,0.0,3.6222222222222222,1.4666666666666668,0.43333333333333335,1.0888888888888888,0.0,2.777777777777778,-62.216243743896484,-104.94164276123047,-54.42142868041992,0.0,-53.29060363769531,41.72726821899414,35.525489807128906,34.51746368408203,0.0,38.67066192626953,3.4008867740631104,1.2372550964355469,1.4308699369430542,0.0,1.2821135520935059,1.062038540840149,0.5675833225250244,0.6799606084823608,0.0,1.040475606918335,3.0833333333333335,3.8333333333333335,2.8333333333333335,2.9166666666666665,2.5,2.9166666666666665,1.6666666666666667,3.0833333333333335,3.5833333333333335,3.5
