"Zeitstempel","ID","Age","Sex","How often do you use VR devices ?","How often do you ride a bycicle ?","Would you describe yourself as a safe cyclist ? ","Have you cycled on a stationary bicycle?","How difficult was it to make a crossing decision in this situation ? ","Why?","How safe did you feel in this situation ?","Why?","How difficult was it to make a crossing decision in this situation ? ","Why?","How safe did you feel in this situation ?","Why?","How difficult was it to make a crossing decision in this situation ? ","Why?","How safe did you feel in this situation ?","Why?","How difficult was it to make a crossing decision in this situation ? ","Why?","How safe did you feel in this situation ?","Why?","How difficult was it to make a crossing decision in this situation ? ","Why?","How safe did you feel in this situation ?","Why?","How realistic felt the cycling with the VR enviroment ? ","Can you imagine some kind of technological assistance to help you making safe decisions in the situations A-E?","General comments","","","","",""
"2022/06/28 11:08:06 AM OEZ","1","22","Male","Once per Year","Every Day","2","Yes","5","Schwierig, die ""Tasche"" zu erkennen und entsprechend zu handeln","2","I have to cross the road and then make a sudden change of direction, and I feel like other traffic members would not be able to properly judge where I am going.","1","I'm used to sittuations like these","2","Traffic members can clearly see the obstacle and me, and I don't have to make any sudden change of direction","3","Hard to see the lane, I have to make the decision to cross very early, especially if there are a lot of cars on the road","3","It's sometimes problematic to get to the correct lane, there are a lot of cars driving by","3","I had to wait for a long time because there were a lot of cars. I was debating if I should start riding or wait some more","3","Lots of cars on the road that I needed to cross","1","No need to change lane or ride/behave different from the cars next to me. I just ""follow"" them","1","No need to share a lane with the cars, as I could ride next to them.","3","Having something to make other members of traffic aware of where I'm going. Also, having something to warn we if I need to change lanes or ride into a ""pocket""","The speed sensor / brakes were slow to respond / buggy. I wasn't very confident that I could ride the way I intended to.","5","3","1","3","1"
"2022/06/28 3:47:12 PM OEZ","2","24","Male","Once per Year","Once per Month","4","Yes","2","Ich mir keine/weniger Sorgen um den Queerverkehr von rechts machen musste","2","Ich weniger Sorge hatte einem anderen Verkehrsteilnehmer die Vorfahrt zu nehmen","3","Nur mittels Schulterblick klar war, ob ich auf den Fahrstreifen wechseln kann.","4","Von hinten kommender Verkehr kann leicht übersehen werden","2","Ich nicht auf den Verkehr hinter mir achten musste. Es ist klarer wer wohin möchte","2","Ich weniger Sorge hatte von Hinten beim Abbiegen umgefahren zu werden","2","Eine bekannte Situation aus dem Straßenverkehr ","4","Querverkehr kann einen leicht übersehen","4","Man aus allen Richtungen mit Verkehr rechnen muss","5","Man schnell einen Verkehrsteilnehmer übersieht oder übersehen wird","2","Nein","","","","","",""
"2022/06/28 5:13:45 PM OEZ","3","25","Female","Once per Year","Once per Week","4","No","3","Das in die Tasche fahren fand ich leicht, nur wenn man dann einmal in der Tasche angekommen ist, fand ich es schwierig sich schnell umzuornientieren und zu wissen wann man jetzt fahren darf. Außerdem hatte ich Schwierigkeiten in einer guten Position in der Tasche zu stoppen - bin z.B. zwei Mal glaube ich zu weit gefahren und konnte die Ampeln nicht sehen und stand auch Mal doof mitten auf der Straße.","4","Weil ich wie gesagt manchmal sehr mittig auf der Straße vor der Tasche stand (komplett seitlich zu den Autos, kam mir sehr unsicher vor) oder auf dem Bürgersteig gelandet bin und mich wieder auf die Straße begeben musste.","1","Ehrlich gesagt ist mir das nichtmal so bewusst aufgefallen. Deshalb scheint es mir sehr leicht gefallen zu sein, diese Entscheidung zu treffen.","1","Ich vermute weil das eine so aus dem Alltag bekannte Sitation ist.","2","Wenn ich es schnell genug gesehen hab fand ich es sehr leicht, da man sich rechtzeitig auf der Abbiegespur einordnen kann und ohne Probleme abbiegen kann. Mir ist es aber auch passiert, dass ich das zu spät gesehen habe und mich dann sehr kurzfristig in die Abbiegespur einordnen musste - das war dann weniger leicht zu entscheiden.","2","Aus den selben Gründen wie oben. wenn ich es zu spät gemerkt habe und kurzfristiger die Spur wechseln musste, habe ich mich schon etwas unsicher gefühlt. ","2","Auch hier erinnere ich mich gar nicht so genau dran, scheint mir also nicht schwer gefallen zu sein. Ich vermute aber, dass die Entscheidung trotzdem nich total einfach fällt, da ja schon der Verkehr beachtet werden muss.","2","Aus oben genanntem Grund habe ich mich schon sicher gefühlt, aber war trotzdem auch nicht ganz unvorsichtig.","4","Ich fand es teilweise schwierig zu entscheiden, da die Autos immer zu warten schienen. Oft dachte ich ,dass die Autos extra warten, damit ich abbiegen kann - manchmal dann aber doch nicht. Vielleicht habe ich das falsch verstanden. Ich war oft sehr hin und hergerissen, ob ich jetzt fahren kann oder nicht. Man sieht ja auch keine Fahrer die einem das mit einem Nicken oder so deutlich machen könnten.","3","Kurz unsicher beim anfahren (vor allem weil das ja auch mit Verzögerung passiert) nachdem man aber sieht, dass die Autos, die von rechts kommen noch stehen bleiben, wieder sicher.","4","","","","","","",""
"2022/06/29 2:10:34 PM OEZ","4","26","Female","Once per Year","Once per Week","4","No","2","Geklärtes Verhältnis, Ampelphase führt für mich zum sicheren Einkehren in die Tasche ","2","Ich hatte genug Zeit in die Tasche zu fahren ","2","Schuterblick möglich und ich kann sicher auf dem Fahrradstreifen stehen bis kein Auto mehr kommt ","2","Fahrradstreifen wird nicht von Autos befahren, dauert nur manchmal lange bis man vorbei kann ","5","Autos von hinten geben mir ein unsicheres Gefühl in ihren Weg zu fahren, ihre Fahrbahn zu kreuzen, da gibt es kaum Lücken ","5","Fühlt sich sehr unsicher an und das Überqueren überfordert einen ","4","Da kamen so viele Autos, dass ich keine Lücke finden konnte bin dann einfach gefahren ","5","Die Autos haben nicht abgebremst um mich reinzulassen habe mich sehr unsicher gefühlt ","3","Manchmal hab ich gewartet, damit die Autos vorfahren die Vorfahrt haben und ich hatte Probleme die Lücke einschätzen ","4","Autos von allen Seiten und auch die auf meiner Fahrbahn haben dazu geführt, dass ich mich nicht sicher gefühlt habe ","4","Ja das kann ich mir vorstellen ","Mir ist ein bisschen schlecht geworden und ich hatte Probleme mit der Verzögerung von Start und Stop des Fahrrads ","","","","",""
"2022/06/29 3:09:20 PM OEZ","5","24","Female","Once per Year","Every Day","4","No","2","Ich hatte eine Ampel angegeben (meine ich zumindest), daher gehe ich davon aus, dass wenn ich ein grünes Licht habe, der Mescn stehen bleibt. Nur 2, da natürlich auch der Mensch bei rot über die Ampel gehen könnte.","2","Ampel gegeben und Ampelschaltungen sind meistens verherssicher durchdacht.","2","Man muss aufmerksam sein, ob ein Mensch zu der Bushaltestelle kommen möchte über die Straße oder sich von hinten ein Bus nähert.","1","Ich habe keine Menschen und Busse gesehen.","3","Etwas schwierig, da ich nicht auf dem Fahrradstreifen bleiben sondern auf die Auto-Spur wechseln musste. Dabei muss man die Autos hinter, neben und vor sich beachten.","4","Die Einschätzung des Fahrverhaltens der Autos hinter einem und das vorausdenken, wann man auf die Auto-Spur wechselt haben die Situation erschwert und unsicherer gemacht.","4","Von rechts und von links können Autos kommen, deren Geschwindigkeit und Abstand man schätzen muss.","2","Wenn man eine groß genuge Lücke entdeckt und die Geschwindigkeit der heranfahrenden Autos einschätzen kann, kann man relativ sicher die Straße überqueren.","4","aus 4 Richtungen können AUtos kommen, die jeweils unterschiedliche Zielrichtungen, Geschwindigkeiten und Abstände zur Kreuzung/mir haben.","4","Falls keine Ampel da ist, ist das einschätzen des Fahrverhaltens der Autos schwierig.","2","nope, sry ","Ich habe hier in meinen Kommentaren und auch beim Fahrradfahren Menschen nicht beachtet. Ab und zu habe ich mal beim um die Kurve fahren nach Menschen Ausschau gehalten. Aber diese bringen hatürlich auch noch einen weiteren Unsicherheitsfaktor ein, falls sie die Straße überqueren wollen.","","","","",""
"2022/06/29 4:08:26 PM OEZ","6","31","Male","Once per Year","Once per Month","4","No","2","the whole process was guided by the traffic light, therefore I don't find it difficult to decide.","4","to reach the pocket I had to move in front of the orthogonal traffic, which can be scary, especially on big streets.","1","I'd drive rather slowly in this situation to have enough time to do multiple safety looks over the shoulder to be sure to not collide with any cars which approach from behind. ","4","The cars approached rather fast from behind, which would scare me a lot in real life and I didn't have sound for traffic guidance.","1","this is the best case for doing crossings, since everything is guided by the traffic lights. This is a situation where I expect most forseeable behaviour from other traffic participants.","2","I saw the lane for bikes very late, because it's pretty short. I'd have wished for bigger/longer markings.","5","There were so many cars, always respawning, so I had to wait for a long time to find a suitable empty space in traffic to bike through.","1","With a sufficient space this is easily doable.","5","The cars behaved unforseeable for my taste.","5","Since I couldn't anticipate the behaviour of the cars and I couldn't see the drivers and their mimics, it was hard to find the correct point in time to do the crossing.","4","","Nice simulation! But the delay between doing motion in real life on the bicycle and them being displayed in the simulation is pretty long, which led to some unexpected behaviour of myself in VR. One other thing is me taking turns around a corner, which felt strange, because by brain tells me that I have to lean to the side, but the VR bike didn't allow me to do so.","","","","",""
"2022/06/30 1:59:01 PM OEZ","7","28","Male","Once per Year","Once per Month","4","Yes","4","Weil die Übersicht über den Verkehr in diesem Situationen schwierier mit der VR-Brille auf war.","2","Weil ich wusste, dass in der VR-Situation nichts passieren konnte.","1","Diese Situation war mir aus dem Alltag gut bekannt.","1","Diese Situation war mir aus dem Alltag gut bekannt.","3","Es war anfangs schwer die Abbiegespur zu finden, wenn Fahrzeuge daraf standen.","3","Weil man sich in den laufenden Verkehr einordnen musste.","4","Durch die Verzögerung zwischen dem Antreten der Pedale und dem im VR in Bewegung setzen, viel es mir schwer eine Lücke zu finden, die groß genug war.","4","Wegen der vielen Autos.","2","Weil auch diese Situation aus dem Straßenverkehr schon bekannt war.","2","Aus den oben genannten Gründen.","3","Ja","Während des Experiments waren leichte Gefühle von Schwindel & Übelkeit zu verspüren.","","","","",""
"2022/07/05 4:41:21 PM OEZ","8","22","Female","Once per Year","Never","3","Yes","4","Es war teilweise schwierig die ganze Kreuzung im Blick zu behalten und diese Verkehrssituatuion war ich nicht aus meinem ""normalen"" Verkehrsalltag gewohnt.","5","Weil ich das Gefühl hatte sehr leicht übersehen zu werden. ","1","Diese Situation war mir geläufig und da es ""nur"" ein Einfedeln in den Straßenverkehr und kein Abbiegen an einer Kreuzung war.","2","Weil es eine gewohnte Straßensituation für mich war und ich nicht das Gefühl hatte, dass ich von Autofahrern übersehen werden kann. ","4","Ich fand es schwierig wegen dem Delay einzuschätzen, wann ich in Situationen schnell genug loskomme, ohne von Autos ""überfahren"" zu werden. Ansonsten war die Situation eine ""normale"" Verkehrssituation, die ich so auch gewohnt bin. ","4","Wegen dem Delay, was ich nur schwer einschätzen konnte, bin ich oft erst zu spät losgefahren und bin dann meistens mit Autos kollidiert. ","2","Ich hatte nicht das Gefühl, dass eine große Gefahr besteht, dass ich von Autos überfahren werde und nicht auf all zu viel achten muss. ","1","Ich hatte nicht das Gefühl, dass ich auf viele Autos achten muss. ","5","Auch hier hatte ich wieder Problme den Delay einzuschätzen und wann ich dann tatsächlich losfahre. Außerdem musste man hier auch wieder auf viel mehr Autos achten. ","5","Da es mir relativ schwer gefallen ist den Delay einzuschätzen und ich dann häufig mit Autos kollidiert bin. Außerdem ist es in einer Kreuzungssituation mit viel Verkehr immer bisschen stressiger, weil man leichter Autos übersehen kann bzw von Autos übersehen wird. ","4","Vielleicht ein device wie bei Autos, was den toten Winkel checkt und einen Indikator gibt. Andererseits finde ich es als Fahrradfahrer vermutlich eher schwieriger auf Technik Geräte zu vertrauen, da im Falle eines Unfalls ich keinen wirklich Schutz habe.  ","","","","","",""
"2022/07/05 5:50:46 PM OEZ","9","25","Female","Once per Year","Once per Week","4","Yes","2","Man musste ausschließlich die Rechtsabbieger beachten.","2","Ich hatte meinen eigenen Platz, welcher zudem den Autos vorgelagert war","1","Ich habe ausschließlich auf den Verkehr hinter mir geachtet bevor ich überholt habe. Im nachhinein ist mir eingefallen, dass ich eventuell daran hätte denken sollen, dass auch eine Tür des stehenden Fahrzeugs sich öffnen kann.","3","Ich hatte keinen eigenen Fahrradstreifen mehr und musste auf die Fahrzeuge achten.","4","Ich habe immer vergessen mich in die Abbiegespur einzuordnen.","4","Der Wechsel auf die Abbiegespur fiel mir sehr schwer.","5","Der andauernde Verkehr hat es nahezu unmöglich gemacht links abzubiegen.","4","Da es keine wirkliche Lücke gab, wusste man einfach nicht, wann man losfahren soll.","5","Der andauernde Verkehr hat einem kaum die Möglichkeit gegeben links abzubiegen.","4","Ich musste auf jeglichen Verkehr achten und hatte kaum eine Möglichkeit abzubiegen","3","","","","","","",""
"2022/07/05 6:27:59 PM OEZ","10","21","Male","Once per Year","Once per Week","4","Yes","1","I´m not crossing other´s road so I just have to wait the light turn green to go strait ","1","I don´t have to think in this situation, all is intuitive, I know that car know what I´m doing ","3","I have to check if there is nobody behind me","3","I don´t realy know if cars understand what I´m doing so I have to check sometimes to be sure i´m safe","2","I have to show to cars that I want to turn, and I have to check that nobody is behind me","2","I have to be sure that cars understand what I´m doing but while we are before a traffic light, car know that I can sometimes turn so they pay more attention on me ","4","I have to wait until nobody is crossing, and beging riding at the good time, to cross the 2 lines","3","I have to pay attention on 2 possible cars (in both side of the road), and I have to know if they have seen me.","4","Have to wait my turn and drive on the good time, I have to say to cars that I´m turning","4","I have to pay attention on each road, when it´s my turn and if cars already saw me","2","I think it can help young people to know where to go, but I don´t think it can help people taking the good decision. The feeling is not the same as real bike and when I cross some road, a lot of my decision are taken with feeling.","","","","","",""
"2022/07/06 2:13:47 PM OEZ","11","24","Male","Once per Year","Every Day","5","No","4","Man muss sich zwei mal entscheiden wann man anhält und losfährt, und dabei muss man dann zwei mal den Verkehr beachten und aufpassen, nicht in irgendwelche Autos zu fahren. Auch die Kurve zu nehmen war ziemlich eng.","4","Weil ich zwei mal auf den Verkehr achten musste und zwei mal irgendwelche Autos in mich hätten reinfahren können. Auch vor dem Anhalten muss man aufpassen, nicht in das vordere an der Ampel stehende Auto zu fahren.","2","Ich konnte eigentlich immer einfach gucken ob ein Auto hinter mir ist, und eigentlich war fast nie eins da, sodass ich einfach um das Hindernis drum herum fahren konnte.","2","Siehe Frage vorher, ich hatte keine Probleme um das Hindernis drum herum zu fahren, da ich das Hindernis immer früh genug gesehen habe, um nach hinten zu schauen.","3","Die Autos die schon an der Ampel stehen stören beim nach links einordnen, und ich war mir manchmal unsicher, was der Gegenverkehr so macht.","2","Wenn man schon links eingeordnet ist ist es gut, dass man eigentlich nicht mehr auf den Verkehr auf der eigenen Spur achten muss, sondern nur noch auf den Gegenverkehr.","5","Es war sehr viel Verkehr da, und wegen der Verzögerung beim Anfahren und Bremsen war es kaum möglich, das richtige Zeitfenster zu erwischen.","5","Ich konnte einfach nicht reinfahren weil zu viel Verkehr war und bin in ein Auto rein.","3","Ich habe mich meistens schon vorher links eingeordnet, damit ich abbiegen kann ohne dass mich die Autos auf meiner Spur stören. Also war es sehr ähnlich so eine Kreuzung zu nehmen wie die mit dem Schild mit dem Linkspfeil.","3","Ich musste noch auf den Gegenverkehr achten, und vom Gefühl hier habe ich mich etwas unsicher gefühlt, weil ich nicht wusste, was der Gegenverkehr macht.","5","Man muss eigentlich immer zurückschauen wenn man links abbiegt, egal ob vor dem einordnen links oder vor dem richtigen abbiegen. Also eine Assistenz die einem sagt, ob links hinter einem etwas ist wäre praktisch gewesen.","","","","","",""
"2022/07/08 11:45:27 AM OEZ","12","24","Female","Never","Once per Year","2","No","4","Weil ich nicht wusste welche Ampel zu mir gehört nachdem ich in der Tasche stand und weil es sich für mich unnatürlich anfühlt eine 90 Grad Drehung machen zu müssen um loszufahren. Also gerade in der Tasche zu stehen wo ich nicht weiterfahre.","5","Weil es so viele Eindrücke waren und ich nicht so ganz wusste, wann ich los gehen kann.","2","Weil ich diese Situation viel häufiger kenne und das auch früher schon häufiger geübt hab.","1","Diese Situation kannte ich","5","Ich hab die Abbiegespur für das Fahrrad viel zu spät gesehen.","5","Wenn ich diese Abbiegung zu spät gesehen hab, dann war ich schon auf der falschen Fahrradspur und dann war es natürlich unsicherer loszufahren.","3","Weil oft alle Seite gehalten haben. Ich versucht habe rechts vor links zu machen und aber dann ewig warten musste bzw. dann doch irgendwann losgefahren bin.","3","Irgandwann bin ich auf gut Glück los","2","Meistens war das mit einer Ampel geregelt","2","Durch die Ampel","3","Ja machmal vielleicht schon, wenn z.B. frühzeitig ein Hinweis kommt, dass man sich wo anders einordnen soll.","Ich hatte bisschen mit Motion-Sickness zu kämpfen besonders beim Abbiegen","","","","",""