number;intersection;condition
-1;NONE;none
0;Midsection-8;d
1;Intersection-20;c
2;Intersection-14;x
3;Intersection-18;x
4;Intersection-33;e
5;Intersection-34;x
6;Midsection-35;b
7;Intersection-36;x
8;Intersection-37;x
9;Intersection-38;a
10;Intersection-48;x
11;Intersection-47;x
12;Intersection-41;e
13;Intersection-45;x
14;Intersection-72;a
15;Intersection-69;x
16;Intersection-70;e
17;Intersection-65;x
18;Intersection-63;x
19;Midsection-73;b
20;Intersection-74;c
21;Intersection-62;x
22;Intersection-61;x
23;Midsection-60;b
24;Intersection-58;x
25;Intersection-57;c
26;Intersection-59;x
27;Intersection-64;x
28;Intersection-52;x
29;Intersection-51;a